"intercept","beta1","beta2","beta3","adj.r.sq","d","kernel","lugsail","alpha"
"2.04831773508074","5.5911414233231","-7.74833759011994","3.76859590314224","0.999456131931414","10","Bartlett","Mother","0.025"
"1.99273175100193","5.64584334445449","-8.01659698302737","3.96857650525875","0.999166378317679","11","Bartlett","Mother","0.025"
"1.94472201322044","5.73487106469998","-8.35980252386477","4.20306984159963","0.999099647812424","12","Bartlett","Mother","0.025"
"3.84145882069412","9.89649720818044","16.82643512969","-8.1979633126868","0.999970511652024","1","Bartlett","Mother","0.05"
"2.99573227355399","3.67894200570981","-2.86178091667415","1.00013647124586","0.999983066117758","2","Bartlett","Mother","0.05"
"2.60490930108373","3.80793554253097","-3.56093614310551","1.40992713669963","0.999974808231239","3","Bartlett","Mother","0.05"
"2.37193225919529","3.88867395471834","-3.86496664710325","1.52776930824531","0.999975436033094","4","Bartlett","Mother","0.05"
"2.21409953870327","4.14066039369232","-4.59905507012143","1.97487067751022","0.999958554819616","5","Bartlett","Mother","0.05"
"2.09859787395733","4.20399517970782","-4.83440722557246","2.11260719266565","0.999936612232769","6","Bartlett","Mother","0.05"
"2.00959149276288","4.29520926768102","-5.18569048690775","2.34185920189161","0.99988406153021","7","Bartlett","Mother","0.05"
"1.93841413198318","4.43257392899435","-5.55811912447017","2.55835284184574","0.999800443071175","8","Bartlett","Mother","0.05"
"1.87988640051338","4.57179310530878","-5.98026201242577","2.82209068346106","0.999727477010546","9","Bartlett","Mother","0.05"
"1.83070380532751","4.78790082037712","-6.53305543158847","3.15852178905161","0.999594707036337","10","Bartlett","Mother","0.05"
"1.78864887024386","4.87736150274222","-6.7678846921823","3.3030026855683","0.999409749548396","11","Bartlett","Mother","0.05"
"1.75217248479026","4.9995023096291","-7.11553966885278","3.51711961909495","0.999256388991708","12","Bartlett","Mother","0.05"
"2.70554345409542","6.00994553851294","8.14264750681654","-2.99236044134853","0.999955803749542","1","Bartlett","Mother","0.1"
"2.30258509299405","2.52439525014522","-1.62942727413553","0.475561259009394","0.999976196850122","2","Bartlett","Mother","0.1"
"2.08379621039011","2.80002157178138","-2.35494614171678","0.852934971112277","0.999991531614532","3","Bartlett","Mother","0.1"
"1.94486008493371","3.0554366300625","-2.99303024277557","1.20527508784099","0.99997991177795","4","Bartlett","Mother","0.1"
"1.84727137995622","3.20777500770635","-3.33430365470289","1.36816383397591","0.999957330904662","5","Bartlett","Mother","0.1"
